id,clean_text,sentiment
1,business updates russias ruble continued its slide as new curbs restricted access to foreign currency as the currency loses purchasing power russias central bank is trying to support the ruble with expanded rules preventing exchanges into dollars,-1
2,the diminishing returns of streamings glut of grifters from the dropout to inventing anna nothing represents this era of television better than the prevalence of scammer programming,0
3,meet ramesh sunny balwani elizabeth holmes former boyfriend and business partner at theranos who is now on trial for fraud while elizabeth holmes is wellknown in the theranos saga ramesh balwani is an enigma heres what we know about his oftenmysterious life and career,-1
4,elizabeth holmes ex sunny balwani now faces his own fraud trial legal experts think hell use a similar defense strategy blame your former partner sunny balwanis fraud trial has begun two months after his ex and former business partner at theranos elizabeth holmes was convicted on four counts,-1
5,sunny balwani trial to start two months after elizabeth holmess guilty verdict businessman who served as theranoss copresident accused of wire fraud and conspiracy to defraud investorstwo months after elizabeth holmes was found guilty of defrauding theranos investors her former business and romantic partner ramesh sunny balwani i,-1
6,reasons why your brand needs to be online in  the internet has become the great equalizer as opportunities continue to increase in the online space,0
7,the antielizabeth holmes amanda seyfried describes why she almost passed on a dream role playing the theranos fraudster in hulus the dropout in favor of staying on her farm upstate where she collects her sheepdogs fur to spin into  yarn for crocheting naomi fry writes,0
8,im sick of scammer tv like a lot of tv about scammers its fun to watch but if you think about who youre rooting for it sours considerablyview entire post,-1
9,outside the box fake it till you make it is an old trick for silicon valley startups but starryeyed stock investors keep falling for it vaporware are products that are promised to be ready or ready soon and then delivered late or not at all,0
10,the dropouts best episode yet isnt about elizabeth holmes at all my biggest issue with the first three episodes of the dropout is its desire to make sense of elizabeth holmes the show wants to understand how holmes went from an eccentric and potentially brilliant healthcare innovator to a cold calculating huckster capabl,0
11,fed officials meet to set rates and new data on retail sales the week ahead in business nan,-1
12,things in tech apple debuts new products in todays edition apple introduced a handful of upgraded gadgets and new colors and a twitter bot went viral for exposing companies pay gaps,-1
